FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106150788,ADVENTIST HEALTH BAKERSFIELD,20192,04-01-2019,06/30/2019,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,172,884,802,267,875,0,0,266,"1,028",4,22,"4,148",0,"3,929","3,297",957,"2,782",0,0,"1,080","3,194",12,68,"15,319",0,"11,473","3,611","1,845","12,300",0,0,"2,904","17,527",28,"2,030","51,718","7,64,48,825","7,02,44,967","1,54,65,370","5,08,36,223",0,0,"1,85,88,386","6,52,40,649","2,45,264","13,81,663","29,84,51,347","4,68,19,709","3,45,52,352","62,87,085","4,91,22,950",0,0,"1,96,69,974","6,78,78,862","73,383","53,68,061","22,97,72,376","32,43,878","10,39,72,893","8,26,57,932","2,02,49,728","8,62,76,493",0,0,0,"2,74,60,251","9,44,34,295",0,"6,33,857",0,0,0,"77,90,400","42,67,19,727",0,0,0,0,0,"1,84,04,096","2,17,70,085","8,72,488","1,34,48,125",0,0,"1,03,76,488","3,48,42,703","3,18,647","14,71,364","10,15,03,996","12,71,642","10,09,73,663",0,"5,22,932",0,0,0,0,"47,13,096","13,32,66,217",0,0,0,0,0,0,0,0,0,0,0,0,0
106171049,ADVENTIST HEALTH CLEARLAKE,20192,04-01-2019,06/30/2019,Open,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVENUE ,CLEARLAKE,95422,DAVID SANTOS,25,25,19,170,7,21,119,0,0,12,13,0,2,344,0,803,17,68,383,0,0,31,52,0,3,"1,357",0,"22,039",317,"7,026","22,275",0,0,"5,894","3,473",0,807,"61,831","94,39,214","1,23,002","11,66,281","54,39,897",0,0,"68,034","5,81,958",0,"1,34,651","1,69,53,037","2,26,14,239","6,15,094","44,08,581","2,17,33,292",0,0,"17,90,182","74,91,632",0,"10,28,545","5,96,81,565","13,13,229","1,78,85,211","5,82,458","13,47,520","2,19,15,972","-2,05,998",0,0,"2,70,060","38,82,593",0,"10,11,509",0,0,0,"8,31,733","4,88,34,287",0,"23,63,051",0,0,"23,63,051","1,31,50,626","1,52,100","39,59,056","72,65,830",0,0,"17,25,362","37,74,024",0,"1,36,368","3,01,63,366","12,86,756","2,76,95,263",0,"12,988",0,0,0,0,"21,14,364","4,01,58,581",0,0,0,0,0,0,0,0,0,0,0,0,0
106040875,ADVENTIST HEALTH FEATHER RIVER,20192,04-01-2019,06/30/2019,Open,Butte,01 - Northern California,220,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,ED GONZALEZ,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,682",0,"4,189","9,851",0,0,"4,601","2,814",0,693,"37,830",0,0,0,0,0,0,0,0,0,0,0,"81,65,030",0,"7,69,307","47,06,742",0,0,"1,85,830","36,90,479",0,"1,47,910","1,76,65,298","1,28,780","58,31,319",0,"1,56,140","25,12,108",0,0,0,"1,02,587","29,00,913",0,0,0,0,0,"46,142","1,16,77,989",0,0,0,0,0,"18,51,106",0,"6,19,636","23,96,212",0,0,"36,507","10,02,686",0,"81,162","59,87,309","33,62,588","1,25,87,366",0,"-39,592",0,0,0,0,0,"4,94,96,614",0,0,0,0,0,0,0,0,0,0,0,0,0
106190323,ADVENTIST HEALTH GLENDALE,20192,04-01-2019,06/30/2019,Open,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,259,"2,132",443,439,962,0,0,83,889,32,17,"4,997",0,"11,073","1,875","2,767","3,529",0,0,443,"3,342",129,72,"23,230",0,"16,030","2,659","1,526","9,999",0,0,"2,380","17,296",46,"1,025","50,961","21,58,81,901","4,66,97,828","3,04,87,192","8,14,42,292",0,0,"23,44,085","6,91,42,586","22,01,311","12,19,218","44,94,16,413","7,25,27,021","2,17,69,542","76,87,438","6,59,37,323",0,0,"29,48,860","6,86,01,501","5,48,505","1,22,85,064","25,23,05,254","22,70,298","24,51,67,805","5,89,92,895","3,00,03,867","11,98,90,227",0,0,0,"37,45,579","9,82,28,933",0,"99,89,183",0,0,0,"1,35,69,629","58,18,58,416",0,0,0,0,0,"3,75,07,450","86,55,557","44,81,283","2,73,45,447",0,0,"14,10,423","3,73,80,071",0,"30,83,020","11,98,63,251","45,14,664","12,60,79,916",0,"18,52,864",0,0,0,0,"23,73,244","19,46,58,247",0,0,0,0,0,0,0,0,0,0,0,0,0
106164029,ADVENTIST HEALTH HANFORD,20192,04-01-2019,06/30/2019,Open,Kings,09 - Central,615,Church,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,126,785,236,262,943,0,0,159,385,0,26,"2,796",0,"3,951","1,314",930,"3,034",0,0,443,"1,194",0,124,"10,990",0,"14,279","2,232","4,066","27,926",0,0,"5,518","16,091",3,"1,767","71,882","4,04,36,026","1,33,37,231","68,01,966","3,14,99,509",0,0,"45,79,499","1,33,08,499",0,"11,19,280","11,10,82,010","3,35,44,945","82,60,264","86,45,602","7,48,54,912",0,0,"1,10,31,945","3,87,13,875","13,021","76,45,191","18,27,09,755","36,28,355","5,94,60,396","1,77,36,790","76,75,399","8,37,51,234","-10,94,663",0,0,"65,48,850","2,93,50,925",0,"7,78,700",0,0,0,"83,35,947","21,61,71,933",0,"42,98,721",0,0,"42,98,721","1,42,47,773","35,46,717","1,26,90,939","2,24,35,105",0,0,"82,71,240","2,00,90,745",590,"6,35,444","8,19,18,553","18,15,329","7,75,56,436",0,"-20,52,606",0,0,0,0,"53,73,659","20,52,01,867",0,0,0,0,0,0,0,0,0,0,0,0,0
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20192,04-01-2019,06/30/2019,Open,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,23,229,29,27,89,0,0,11,46,0,1,432,0,938,131,110,385,0,0,53,136,0,2,"1,755",0,"6,140",557,359,"4,247",0,0,"1,759","2,701",0,338,"16,101","1,61,63,022","25,38,884","15,23,671","48,48,169",0,0,"2,49,488","31,25,767",0,"3,63,468","2,88,12,469","83,73,357","8,75,467","8,42,256","75,42,708",0,0,"7,35,365","55,29,449",0,"8,37,950","2,47,36,552","6,97,630","1,58,85,644","17,28,364","16,55,326","1,10,07,765",0,0,0,"1,31,952","39,49,472",0,"11,86,926",0,0,0,"5,12,989","3,67,56,068",0,"13,87,587",0,0,"13,87,587","81,79,312","16,19,377","5,52,063","21,21,059",0,0,"12,28,420","44,33,803",0,"46,506","1,81,80,540","8,85,659","1,87,40,732",0,"6,70,651",0,0,0,0,"61,20,214","6,53,21,275",0,0,0,0,0,0,0,0,0,0,0,0,0
106390923,ADVENTIST HEALTH LODI MEMORIAL,20192,04-01-2019,06/30/2019,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,DANIEL WOLCOTT,190,190,91,833,219,167,508,0,0,29,375,0,25,"2,156",0,"3,421",850,667,"1,704",0,0,99,"1,086",0,76,"7,903",0,"17,560","3,581","3,394","23,473",0,0,"5,708","11,321",70,"1,195","66,302","9,26,52,068","2,39,19,800","1,60,65,274","4,03,83,466",0,0,"26,86,270","2,88,76,219",0,"27,63,000","20,73,46,097","5,46,80,631","1,52,22,200","89,87,316","5,65,30,434",0,0,"50,25,105","4,24,35,052","23,055","76,37,874","19,05,41,667","21,81,952","13,03,74,871","3,54,53,417","2,34,28,986","8,67,79,964",0,0,0,"35,19,257","4,61,16,297",0,"8,51,058",0,0,0,"87,24,633","33,74,30,435",0,"8,03,903",0,0,"8,03,903","1,71,06,775","36,08,366","22,74,208","94,60,355",0,0,"41,88,906","2,15,94,189",0,"30,28,433","6,12,61,232","7,65,058","6,28,39,758",0,"-2,80,081",0,0,0,0,"13,58,419","12,41,70,408",0,0,0,0,0,0,0,0,0,0,0,0,0
106100797,ADVENTIST HEALTH REEDLEY,20192,04-01-2019,06/30/2019,Open,Fresno,09 - Central,607,District,Comparable,Rural,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,15,47,17,81,207,0,0,2,45,0,10,409,0,196,64,177,475,0,0,5,107,0,24,"1,048",0,"19,334","4,263","12,554","82,675",0,0,"1,518","18,232","3,163","3,079","1,44,818","13,42,043","5,60,556","16,91,497","42,61,422",0,0,"60,168","9,19,336",0,"1,37,873","89,72,895","89,88,113","21,35,411","57,77,834","3,77,87,460",0,0,"12,34,818","89,28,046","5,34,271","27,39,776","6,81,25,729","11,94,811","36,24,122","23,08,556","24,74,695","1,61,85,410","-12,30,261",0,0,"2,76,648","42,68,543",0,"9,75,332",0,0,0,"28,85,750","3,29,63,606",0,"4,32,669",0,0,"4,32,669","64,41,759","4,39,365","63,68,569","2,52,48,199",0,0,"8,33,970","47,37,878","98,510","3,99,437","4,45,67,687","34,15,940","4,03,11,138",0,"4,49,125",0,0,0,0,"4,28,482","3,23,98,086",0,0,0,0,0,0,0,0,0,0,0,0,0
106580996,ADVENTIST HEALTH RIDEOUT,20192,04-01-2019,06/30/2019,Open,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,155,"1,295",38,241,775,0,0,510,0,0,29,"2,888",0,"7,281",189,995,"3,471",0,0,"1,897",0,0,227,"14,060",0,"24,746",574,"2,687","13,846",22,0,"12,583",0,0,793,"55,251","11,36,98,794","29,66,931","1,49,40,951","5,03,14,379",0,0,"3,21,10,652",0,0,"25,53,337","21,65,85,044","7,17,63,592","16,65,588","77,91,571","4,01,56,265","62,922",0,"3,64,93,649",0,0,"23,00,834","16,02,34,421","54,65,162","14,32,08,038","35,80,236","1,89,52,128","7,05,92,095",0,"54,304",0,"2,20,93,707",0,0,0,0,0,0,"42,21,815","26,81,67,485",0,0,0,0,0,"4,22,54,348","10,52,283","37,80,394","1,98,78,549","8,617",0,"4,10,45,431",0,0,"6,32,358","10,86,51,980","23,90,017","11,45,23,588","1,34,24,007","2,43,153",0,0,0,0,"67,35,049","34,27,14,735",0,0,0,0,0,0,0,0,0,0,0,0,0
106560525,ADVENTIST HEALTH SIMI VALLEY,20192,04-01-2019,06/30/2019,Open,Ventura,10 - Santa Barbara/Ventura,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,130,88,742,250,85,294,0,0,27,538,0,7,"1,943",0,"3,237","1,005",326,"1,037",0,0,95,"1,900",0,17,"7,617",0,"3,188",947,629,"3,314",0,0,"3,196","9,323",0,384,"20,981","5,41,99,438","1,84,51,995","42,41,019","1,70,54,714",0,0,"3,88,516","3,49,64,062",0,"18,23,294","13,11,23,038","1,46,26,654","88,24,890","33,33,162","1,41,17,249",0,0,"11,10,863","3,07,22,189",0,"23,77,014","7,51,12,021","20,53,872","5,90,55,805","2,13,81,866","58,72,741","3,04,32,072",0,0,0,"8,95,842","3,91,09,389",0,"6,32,467",0,0,0,"49,20,047","16,43,54,101",0,0,0,0,0,"92,03,334","57,11,166","16,99,296","7,12,556",0,0,"5,18,630","2,30,68,748",0,"9,67,228","4,18,80,958","4,19,209","4,16,68,481",0,"5,339",0,0,0,0,"1,00,855","12,20,51,376",0,0,0,0,0,0,0,0,0,0,0,0,0
106554011,ADVENTIST HEALTH SONORA - GREENLEY,20192,04-01-2019,06/30/2019,Open,Tuolumne,06 - North San Joaquin,513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,109,584,44,49,182,0,0,42,162,0,4,"1,067",7,"2,100",205,"6,076",682,0,0,125,407,0,20,"9,615","6,018","55,965","2,077","4,362","17,050",0,0,"7,549","27,216",17,"2,869","1,17,105","4,98,66,607","44,60,528","65,17,259","1,28,04,586",0,0,"11,55,382","1,32,80,868",0,"2,77,923","8,83,63,153","10,72,20,671","48,89,882","42,62,711","2,67,65,212",0,0,"77,03,161","4,43,26,051","55,882","31,15,383","19,83,38,953","17,05,958","12,67,11,007","76,64,478","36,97,176","3,22,88,288",0,0,0,"53,54,783","3,44,25,298",0,"16,04,419",0,0,0,"45,90,462","21,80,41,869",0,0,0,0,0,"2,79,10,249","16,85,932","49,29,583","72,81,510",0,0,"35,03,759","2,31,81,621","11,283","1,56,300","6,86,60,237","4,94,345","6,45,06,111",0,"10,01,370",0,0,0,0,"1,98,628","9,95,05,142",0,0,0,0,0,0,0,0,0,0,0,0,0
