FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106150788,ADVENTIST HEALTH BAKERSFIELD,20182,04-01-2018,06/30/2018,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,181,919,793,260,994,0,0,189,"1,095",0,45,"4,295",0,"4,110","2,930","1,018","3,719",0,0,758,"3,477",0,137,"16,149",0,"10,483","3,768","1,495","11,898",0,0,"2,236","17,306",0,"2,376","49,562","7,43,91,728","6,21,99,713","1,74,22,803","6,10,02,585",0,0,"1,26,47,905","6,56,19,175",0,"24,94,991","29,57,78,900","4,74,17,129","3,08,59,268","55,25,269","4,75,48,317",0,0,"1,26,22,382","6,69,09,704",0,"43,72,286","21,52,54,355","17,97,011","10,04,66,974","7,31,26,526","1,80,45,198","8,94,60,551",0,0,0,"2,14,46,199","9,90,71,568",0,"20,60,609",0,0,0,"68,96,388","41,23,71,024",0,0,0,0,0,"2,00,78,454","1,97,69,234","47,55,431","1,89,35,630",0,0,"38,20,058","3,06,68,795",0,"6,34,629","9,86,62,231","11,99,242","9,62,83,883",0,"8,36,779",0,0,0,0,"23,09,928","13,31,11,337",0,0,0,0,0,0,0,0,0,0,0,0,0
106171049,ADVENTIST HEALTH CLEARLAKE,20182,04-01-2018,06/30/2018,Open,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVENUE ,CLEARLAKE,95422,DAVID SANTOS,25,25,19,183,1,12,123,0,0,0,27,0,4,350,0,860,2,28,393,0,0,0,88,0,9,"1,380",0,"20,575",240,"6,577","21,552",0,0,"5,433","3,100",0,978,"58,455","94,63,306","26,259","4,73,390","45,90,124",0,0,0,"13,19,301",0,"7,761","1,58,80,141","1,92,68,836","4,30,763","39,67,810","1,89,25,855",0,0,"2,76,695","67,91,299",0,"7,27,150","5,03,88,408","5,31,845","1,72,58,478","1,91,073","31,52,462","1,35,47,286","-1,23,678",0,0,"-38,801","36,14,021",0,"17,26,035",0,0,0,"8,82,751","4,07,41,472",0,"27,58,404",0,0,"27,58,404","1,03,80,961","2,65,287","12,60,777","1,26,28,446",0,0,"3,77,782","40,65,818",0,"-6,93,590","2,82,85,481","8,90,771","2,58,38,632",0,"12,170",0,0,0,0,"13,89,859","3,22,79,989",0,0,0,0,0,0,0,0,0,0,0,0,0
106040875,ADVENTIST HEALTH FEATHER RIVER,20182,04-01-2018,06/30/2018,Open,Butte,01 - Northern California,220,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,MONTY KNITTEL,100,100,44,542,31,44,236,0,0,3,153,0,13,"1,022",0,"2,077",110,119,876,0,0,10,425,0,53,"3,670",0,"41,914","1,377","7,218","26,767",0,0,901,"16,599",0,"1,477","96,253","6,42,02,565","35,64,949","34,79,124","2,05,58,931",0,0,"5,46,732","1,27,46,288",0,"17,73,330","10,68,71,919","10,59,07,755","43,52,981","77,63,420","5,66,55,940",0,0,"15,62,237","4,34,34,649",0,"28,42,527","22,25,19,509","7,78,927","15,16,33,129","67,55,070","63,23,374","6,30,86,284","-2,05,821",0,0,"7,02,833","4,13,92,319",0,"20,80,666",0,0,0,"41,55,229","27,67,02,010",0,0,0,0,0,"1,65,31,142","11,81,282","46,95,450","1,41,62,526",0,0,"10,49,431","1,35,35,692",0,"15,33,895","5,26,89,418","46,12,136","5,65,89,351",0,"1,16,291",0,0,0,0,"8,80,658","5,42,46,478",0,0,0,0,0,0,0,0,0,0,0,0,0
106190323,ADVENTIST HEALTH GLENDALE,20182,04-01-2018,06/30/2018,Open,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,278,"2,121",370,421,"1,023",0,0,69,929,0,135,"5,068",0,"12,532","1,566","2,646","3,911",0,0,295,"3,476",0,545,"24,971",0,"15,223","2,501","1,651","9,167",0,0,"2,456","18,371",0,"1,625","50,994","20,97,58,917","3,47,06,785","3,69,27,445","7,80,04,169",0,0,"15,81,235","6,41,24,206",0,"29,74,823","42,80,77,580","6,05,72,684","1,74,75,573","70,93,467","4,70,69,096",0,0,"20,27,881","5,74,24,461",0,"20,98,307","19,37,61,469","20,23,627","22,85,66,110","5,18,48,559","3,85,89,956","7,55,10,409",0,0,0,"22,50,628","8,84,97,015",0,"22,00,510",0,0,0,"1,34,27,747","50,29,14,561",0,0,0,0,0,"3,66,70,544","1,12,991","52,82,868","4,89,89,771",0,0,"10,26,938","2,58,45,850",0,"9,95,526","11,89,24,488","35,15,362","11,87,39,123",0,"11,12,980",0,0,0,0,"7,43,500","20,27,19,640",0,0,0,0,0,0,0,0,0,0,0,0,0
106164029,ADVENTIST HEALTH HANFORD,20182,04-01-2018,06/30/2018,Open,Kings,09 - Central,615,Church,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,117,851,181,223,842,0,0,157,417,0,49,"2,720",0,"4,108",926,842,"2,649",0,0,478,"1,219",0,146,"10,368",0,"15,447","2,344","3,744","28,283",0,0,"4,788","16,278",2,"2,104","72,990","3,76,25,408","86,36,607","74,23,024","2,83,08,205",0,0,"48,45,683","1,34,35,988",0,"13,53,002","10,16,27,917","3,60,78,904","71,17,810","1,03,22,141","7,33,43,054",0,0,"1,00,57,188","3,74,38,107",981,"65,91,183","18,09,49,368","23,22,619","5,96,29,524","1,13,77,180","1,20,03,398","7,76,89,556","-13,79,664",0,0,"1,04,51,984","2,41,99,421",0,"27,18,684",0,0,0,"56,97,530","20,47,10,232",0,"41,61,272",0,0,"41,61,272","1,38,22,589","24,15,411","81,58,650","2,87,79,472",0,0,"31,55,115","2,51,27,577",242,"5,69,269","8,20,28,325","11,59,978","7,09,09,209",0,"-16,43,648",0,0,0,0,"33,81,144","19,35,06,639",0,0,0,0,0,0,0,0,0,0,0,0,0
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20182,04-01-2018,06/30/2018,Open,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,23,220,16,28,94,0,0,6,48,0,8,420,0,892,68,139,444,0,0,27,163,0,27,"1,760",0,"5,335",490,274,"3,573",0,0,365,"3,257",0,380,"13,674","1,33,91,766","10,14,942","21,49,867","54,59,305",0,0,"3,10,306","29,91,361",0,"4,49,536","2,57,67,083","73,69,704","7,49,772","8,70,889","61,51,497",0,0,"4,82,642","42,75,221",0,"4,56,815","2,03,56,540","87,989","1,44,14,165","12,99,478","16,37,352","57,75,324","1,336",0,0,"77,699","44,49,586",0,"12,21,079",0,0,0,"5,95,787","2,95,59,795",0,"15,75,971",0,0,"15,75,971","60,45,382","3,79,881","14,13,627","74,23,487",0,0,"7,80,420","23,34,239",0,"-2,37,237","1,81,39,799","6,05,189","1,72,78,151",0,"4,49,110",0,0,0,0,"1,20,970","5,87,37,078",0,0,0,0,0,0,0,0,0,0,0,0,0
106390923,ADVENTIST HEALTH LODI MEMORIAL,20182,04-01-2018,06/30/2018,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,DANIEL WOLCOTT,190,190,104,"1,011",201,145,559,0,0,51,399,0,27,"2,393",0,"4,288",884,633,"1,943",0,0,171,"1,174",0,86,"9,179",0,"20,755","3,473","3,436","25,004",0,0,"3,545","14,214",50,"1,763","72,240","10,42,50,814","2,07,85,465","1,27,41,083","4,20,07,075",0,0,"40,59,296","3,12,07,730",0,"21,51,141","21,72,02,604","4,50,86,124","91,89,751","1,14,29,887","5,13,64,908",0,0,"1,07,16,992","3,47,99,362","16,668","55,01,947","16,81,05,639","-10,687","13,13,72,412","2,70,23,536","2,00,18,592","8,23,82,129",0,0,0,"75,32,484","3,90,25,098",0,"25,97,601",0,0,0,"90,16,911","31,89,58,076",0,"7,32,044",0,0,"7,32,044","1,90,16,643","38,58,816","39,72,046","1,31,36,281",0,0,"28,06,423","2,38,80,901",0,"4,11,101","6,70,82,211","8,57,246","6,04,92,493",0,"-23,64,253",0,0,0,0,"3,18,237","14,12,39,091",0,0,0,0,0,0,0,0,0,0,0,0,0
106100797,ADVENTIST HEALTH REEDLEY,20182,04-01-2018,06/30/2018,Open,Fresno,09 - Central,607,District,Comparable,Rural,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,16,42,11,64,248,0,0,3,43,0,6,417,0,202,55,140,549,0,0,8,99,0,15,"1,068",0,"20,703","3,552","13,560","89,530",0,0,"1,543","18,371","1,469","5,152","1,53,880","12,89,267","3,83,380","12,87,560","51,59,452",0,0,"88,049","8,69,810",0,"1,15,522","91,93,040","85,84,938","15,31,354","62,52,304","3,65,66,619",0,0,"14,36,588","83,11,779","2,40,610","26,81,696","6,56,05,888","2,83,290","26,01,932","14,08,808","32,01,460","1,58,05,767","-9,09,317",0,0,"6,51,934","41,23,493",0,"10,61,633",0,0,0,"26,67,074","3,08,96,074",0,0,0,"5,12,816","5,12,816","53,89,305","4,11,670","54,76,377","2,68,82,273",0,0,"4,11,032","52,77,347","45,561","5,22,105","4,44,15,670","12,07,914","3,98,36,786",0,"2,60,985",0,0,0,0,"5,18,007","2,04,37,761",0,0,0,0,0,0,0,0,0,0,0,0,0
106560525,ADVENTIST HEALTH SIMI VALLEY,20182,04-01-2018,06/30/2018,Open,Ventura,10 - Santa Barbara/Ventura,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,85,71,626,149,57,270,0,0,28,530,0,42,"1,702",0,"2,484",566,233,"1,045",0,0,81,"1,562",0,105,"6,076",0,"6,111",796,457,"3,378",0,0,"2,797","9,533",0,686,"23,758","4,10,51,103","1,03,34,036","46,10,037","1,62,09,354",0,0,"8,08,179","2,53,71,902",0,"9,94,309","9,93,78,920","1,62,94,072","52,07,024","27,50,041","1,35,59,107",0,0,"4,81,005","2,67,98,770",0,"23,09,087","6,73,99,106","9,34,394","4,53,12,514","1,57,61,183","55,86,257","2,06,53,298",0,0,0,"9,48,302","3,54,33,291",0,"17,35,197",0,0,0,"40,18,554","13,03,82,990",0,0,0,0,0,"1,11,74,031","-2,87,268","17,10,603","91,12,442",0,0,"1,86,190","1,52,84,036",0,"-7,84,998","3,63,95,036","4,17,458","4,00,43,898",0,"1,04,856",0,0,0,0,"15,12,785","12,86,02,752",0,0,0,0,0,0,0,0,0,0,0,0,0
106554011,ADVENTIST HEALTH SONORA - GREENLEY,20182,04-01-2018,06/30/2018,Open,Tuolumne,06 - North San Joaquin,513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,113,569,37,44,156,0,0,40,181,0,10,"1,037",22,"2,554",223,"5,927",629,0,0,219,478,0,22,"10,052","5,989","52,966","2,621","4,554","17,345",0,4,"7,076","26,260",1,"2,278","1,13,105","4,39,86,022","26,12,561","55,06,640","1,10,95,217",0,0,"33,44,498","1,21,22,448",0,"4,74,525","7,91,41,911","8,72,53,452","56,19,554","40,33,551","2,63,76,355",0,"21,343","83,31,112","3,68,25,385",209,"22,54,264","17,07,15,225","7,25,648","10,40,80,115","67,43,388","32,09,741","2,90,74,229",0,0,0,"42,81,711","2,97,75,446",0,"13,38,208",0,0,0,"52,53,974","18,44,82,460",0,0,0,0,0,"2,49,33,813","13,34,134","78,20,093","72,05,170",0,0,"31,23,286","2,03,52,000","1,609","6,04,571","6,53,74,676","4,59,789","5,99,08,663",0,"6,71,628",0,0,0,0,"51,35,954","8,93,27,110",0,0,0,0,0,0,0,0,0,0,0,0,0
